workflow_id,workflow,source_domain,contract_name,required_fields,freshness_sla_hours,missingness_rate,decision_confidence,model_action,public_benchmark,launch_blocker,owner_team
BA007,Post-match client handoff,client_messages,Client message contract,"channel, handoff_step, response_due_at, sentiment_signal",48,0.229,0.71,Personalize next best intake question,PUB-GAO-APPEALS,Freshness SLA,Product and Design
BA008,Milestone status tracker,client_messages,Client message contract,"channel, handoff_step, response_due_at, sentiment_signal",48,0.21,0.71,Route to advocate review before referral,PUB-SSA-HEARING,Freshness SLA,Product and Engineering
BA005,Firm capacity and preference signal,lawyer_capacity,Firm capacity contract,"state, practice_area, open_slots, response_sla_hours",48,0.231,0.75,Recommend lawyer match with rationale,PUB-SSA-HEARING,Freshness SLA,Lawyer Network
BA010,State-specific routing guardrails,public_benchmarks,Public benchmark contract,"domain, metric, benchmark_value, source, updated_at",24,0.206,0.71,Escalate delayed handoff follow-up,PUB-SSA-INITIAL,None,Product and Legal Ops
BA004,No-match recovery path,case_outcomes,Outcome feedback contract,"match_accepted, benefit_stage, payout_status, closed_reason",4,0.235,0.72,Escalate delayed handoff follow-up,PUB-SSA-HEARING,None,Product Operations
BA009,VA benefits evidence checklist,public_benchmarks,Public benchmark contract,"domain, metric, benchmark_value, source, updated_at",24,0.213,0.72,Recommend lawyer match with rationale,PUB-SSA-INITIAL,None,New Verticals
BA006,Document readiness coach,claim_documents,Document evidence contract,"document_type, freshness_days, completeness_score",8,0.19,0.73,Prompt evidence checklist completion,PUB-GAO-APPEALS,None,Product and Legal Ops
BA003,Advocate triage command queue,advocate_case_notes,Advocate disposition contract,"workflow_id, urgency, next_step, review_reason",2,0.23,0.74,Prompt evidence checklist completion,PUB-SSA-INITIAL,None,Client Experience
BA002,Eligibility quiz repair loop,intake_quiz,Intake event contract,"client_id, state, claim_type, answer_confidence, submitted_at",12,0.208,0.77,Route to advocate review before referral,PUB-GAO-APPEALS,None,Product and Design
BA001,Best-fit law firm recommendation,lawyer_capacity,Firm capacity contract,"state, practice_area, open_slots, response_sla_hours",8,0.184,0.81,Personalize next best intake question,PUB-SSA-INITIAL,None,Product and Data Science
