requirement_id,workflow_id,theme,persona,evidence_source,severity,request_count,confidence,user_need,acceptance_criteria,instrumentation,prd_status,workflow,product_area,problem,hypothesis,user_story,validation_plan
REQ-BA005-3,BA005,Match rationale,Partner law firm,Client advocate interview,Critical,41,0.89,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",case_readiness_score,Drafted,Firm capacity and preference signal,Lawyer network,"Firm availability, state coverage, case appetite, and response speed can drift faster than manual routing rules.",Lightweight firm-side capacity signals will improve match acceptance and reduce dead-end referrals.,"As a partner law firm, I need show why the recommended firm is a fit before the advocate confirms the referral.","Review case_readiness_score by case type, state, firm cohort, and advocate team before scaling."
REQ-BA001-3,BA001,Exception path,Client advocate,Client advocate interview,Critical,32,0.9,Route low-confidence cases to review instead of presenting a brittle answer.,"Exception path is visible, auditable, and measured before launch review.",match_acceptance_rate,Drafted,Best-fit law firm recommendation,Lawyer matching,"Clients with viable cases need a fast match that considers jurisdiction, case type, firm capacity, and client preference.",A transparent matching rubric will raise accepted matches while reducing rework for advocates and firms.,"As a client advocate, I need route low-confidence cases to review instead of presenting a brittle answer.","Review match_acceptance_rate by case type, state, firm cohort, and advocate team before scaling."
REQ-BA002-1,BA002,Capacity freshness,Benefits applicant,Client advocate interview,Critical,32,0.69,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",client_trust_score,Needs research,Eligibility quiz repair loop,Intake,Ambiguous quiz answers create downstream case review delays and lower confidence in eligibility recommendations.,A guided repair loop can improve qualification precision without making intake feel bureaucratic.,"As a benefits applicant, I need flag stale firm availability signals before a match is presented.","Review client_trust_score by case type, state, firm cohort, and advocate team before scaling."
REQ-BA003-1,BA003,Client expectation,Client advocate lead,Legal ops policy review,Critical,31,0.76,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",time_to_first_contact_hours,Needs legal review,Advocate triage command queue,Client operations,High-need clients can be buried behind lower-risk follow-ups when urgency and readiness are not visible together.,"A triage queue that combines urgency, readiness, and outreach history will improve first-contact speed.","As a client advocate lead, I need explain the next step in plain language at the moment of handoff.","Review time_to_first_contact_hours by case type, state, firm cohort, and advocate team before scaling."
REQ-BA008-2,BA008,Match rationale,Matched client,Partner firm interview,Critical,23,0.7,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",client_trust_score,Ready for sizing,Milestone status tracker,Case collaboration,"Clients need reassurance during long benefits timelines, especially when agencies or insurers move slowly.",Milestone visibility will reduce avoidable support contacts and improve trust through long waits.,"As a matched client, I need show why the recommended firm is a fit before the advocate confirms the referral.","Review client_trust_score by case type, state, firm cohort, and advocate team before scaling."
REQ-BA004-1,BA004,Capacity freshness,Marketplace operator,Support transcript review,Critical,10,0.93,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",case_readiness_score,Needs research,No-match recovery path,Marketplace health,Some qualified clients cannot be matched immediately because the right firm capacity or jurisdiction fit is unavailable.,A recovery path with alternate routing and capacity alerts will prevent viable clients from dropping out.,"As a marketplace operator, I need flag stale firm availability signals before a match is presented.","Review case_readiness_score by case type, state, firm cohort, and advocate team before scaling."
REQ-BA007-3,BA007,Match rationale,Newly matched client,Partner firm interview,High,38,0.85,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",case_readiness_score,Drafted,Post-match client handoff,Case collaboration,"Clients can lose trust after referral if expectations, next steps, and firm response times are unclear.",A structured handoff timeline will improve client confidence and firm follow-through.,"As a newly matched client, I need show why the recommended firm is a fit before the advocate confirms the referral.","Review case_readiness_score by case type, state, firm cohort, and advocate team before scaling."
REQ-BA010-1,BA010,Match rationale,Injured worker,Client advocate interview,High,38,0.74,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",manual_rework_rate,Ready for sizing,State-specific routing guardrails,Workers compensation,"State rules, deadlines, and firm coverage create routing complexity for injured workers seeking help.",State-specific guardrails can reduce mismatches while preserving a simple intake journey.,"As a injured worker, I need show why the recommended firm is a fit before the advocate confirms the referral.","Review manual_rework_rate by case type, state, firm cohort, and advocate team before scaling."
REQ-BA006-3,BA006,Outcome tracking,Benefits applicant,Support transcript review,High,38,0.69,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",manual_rework_rate,Needs legal review,Document readiness coach,Evidence readiness,Clients often do not know which documents or medical evidence are needed before a lawyer evaluates the case.,A plain-language checklist will raise case readiness and reduce repeated advocate follow-up.,"As a benefits applicant, I need instrument whether the decision improved speed, trust, or acceptance.","Review manual_rework_rate by case type, state, firm cohort, and advocate team before scaling."
REQ-BA009-1,BA009,Client expectation,Veteran applicant,Intake funnel telemetry,Medium,32,0.67,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",time_to_first_contact_hours,Needs legal review,VA benefits evidence checklist,New verticals,Veterans need claim-specific evidence guidance that differs from disability and workers compensation journeys.,A vertical-specific readiness checklist can validate expansion demand before deeper workflow investment.,"As a veteran applicant, I need explain the next step in plain language at the moment of handoff.","Review time_to_first_contact_hours by case type, state, firm cohort, and advocate team before scaling."
