workflow_id,product_area,workflow,persona,problem,hypothesis,owner_team,roadmap_horizon,strategic_fit,effort,risk_sensitivity,priority_score,launch_status,next_decision,request_count,critical_requirements,estimated_impact,avg_match_acceptance,avg_firm_response_hours,avg_data_quality,latest_client_trust_score,latest_case_readiness_score,readiness_score,weakest_gate,second_gate
BA001,Lawyer matching,Best-fit law firm recommendation,Client advocate,"Clients with viable cases need a fast match that considers jurisdiction, case type, firm capacity, and client preference.",A transparent matching rubric will raise accepted matches while reducing rework for advocates and firms.,Product and Data Science,Now,96,64,92,119.1,Needs one gate,Close the weakest gate before committing roadmap capacity.,97,1,575941,0.543,41.4,77.4,86.5,74.1,70.2,Data instrumentation,Operations playbook
BA005,Lawyer network,Firm capacity and preference signal,Partner law firm,"Firm availability, state coverage, case appetite, and response speed can drift faster than manual routing rules.",Lightweight firm-side capacity signals will improve match acceptance and reduce dead-end referrals.,Lawyer Network,Next,88,67,83,113.7,Needs one gate,Close the weakest gate before committing roadmap capacity.,111,1,413059,0.509,43.0,74.7,86.4,77.0,67.6,PRD completeness,Operations playbook
BA002,Intake,Eligibility quiz repair loop,Benefits applicant,Ambiguous quiz answers create downstream case review delays and lower confidence in eligibility recommendations.,A guided repair loop can improve qualification precision without making intake feel bureaucratic.,Product and Design,Now,93,48,88,113.0,Needs one gate,Close the weakest gate before committing roadmap capacity.,102,1,396151,0.567,40.4,79.7,83.1,75.9,73.4,Legal review,Design prototype
BA003,Client operations,Advocate triage command queue,Client advocate lead,High-need clients can be buried behind lower-risk follow-ups when urgency and readiness are not visible together.,"A triage queue that combines urgency, readiness, and outreach history will improve first-contact speed.",Client Experience,Next,89,54,86,112.6,Needs one gate,Close the weakest gate before committing roadmap capacity.,89,1,483562,0.538,40.8,77.3,91,70.3,69.7,Problem framing,Legal review
BA004,Marketplace health,No-match recovery path,Marketplace operator,Some qualified clients cannot be matched immediately because the right firm capacity or jurisdiction fit is unavailable.,A recovery path with alternate routing and capacity alerts will prevent viable clients from dropping out.,Product Operations,Now,91,59,90,108.5,Needs one gate,Close the weakest gate before committing roadmap capacity.,49,1,593920,0.525,41.8,78.3,84.4,78.1,70.9,Operations playbook,Legal review
BA007,Case collaboration,Post-match client handoff,Newly matched client,"Clients can lose trust after referral if expectations, next steps, and firm response times are unclear.",A structured handoff timeline will improve client confidence and firm follow-through.,Product and Design,Next,84,42,80,103.5,Needs one gate,Close the weakest gate before committing roadmap capacity.,94,0,356499,0.53,36.0,78.6,78.7,76.0,71.0,Design prototype,Legal review
BA009,New verticals,VA benefits evidence checklist,Veteran applicant,Veterans need claim-specific evidence guidance that differs from disability and workers compensation journeys.,A vertical-specific readiness checklist can validate expansion demand before deeper workflow investment.,New Verticals,Later,81,58,81,102.6,Needs one gate,Close the weakest gate before committing roadmap capacity.,81,0,474597,0.523,42.9,79.1,87.6,74.6,67.2,Experiment plan,Engineering estimate
BA008,Case collaboration,Milestone status tracker,Matched client,"Clients need reassurance during long benefits timelines, especially when agencies or insurers move slowly.",Milestone visibility will reduce avoidable support contacts and improve trust through long waits.,Product and Engineering,Later,78,71,72,99.9,Discovery first,Run focused discovery before roadmap commitment.,58,1,534973,0.489,45.6,78.5,80.7,66.7,63.4,Operations playbook,Data instrumentation
BA006,Evidence readiness,Document readiness coach,Benefits applicant,Clients often do not know which documents or medical evidence are needed before a lawyer evaluates the case.,A plain-language checklist will raise case readiness and reduce repeated advocate follow-up.,Product and Legal Ops,Next,86,46,87,98.6,Needs one gate,Close the weakest gate before committing roadmap capacity.,58,0,410673,0.532,38.3,79.9,84.7,76.6,71.8,Legal review,Design prototype
BA010,Workers compensation,State-specific routing guardrails,Injured worker,"State rules, deadlines, and firm coverage create routing complexity for injured workers seeking help.",State-specific guardrails can reduce mismatches while preserving a simple intake journey.,Product and Legal Ops,Later,82,62,84,96.9,Discovery first,Run focused discovery before roadmap commitment.,61,0,425930,0.531,43.4,77.9,84.4,72.2,66.6,Problem framing,Operations playbook
