requirement_id,workflow_id,theme,persona,evidence_source,severity,request_count,confidence,user_need,acceptance_criteria,instrumentation,prd_status
REQ-BA001-1,BA001,Match rationale,Client advocate,Intake funnel telemetry,Medium,39,0.93,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",client_trust_score,Needs legal review
REQ-BA001-2,BA001,Outcome tracking,Client advocate,Support transcript review,Medium,26,0.92,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",case_readiness_score,Drafted
REQ-BA001-3,BA001,Exception path,Client advocate,Client advocate interview,Critical,32,0.9,Route low-confidence cases to review instead of presenting a brittle answer.,"Exception path is visible, auditable, and measured before launch review.",match_acceptance_rate,Drafted
REQ-BA002-1,BA002,Capacity freshness,Benefits applicant,Client advocate interview,Critical,32,0.69,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",client_trust_score,Needs research
REQ-BA002-2,BA002,Match rationale,Benefits applicant,Intake funnel telemetry,High,34,0.86,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",match_acceptance_rate,Needs research
REQ-BA002-3,BA002,Outcome tracking,Benefits applicant,Intake funnel telemetry,Medium,36,0.82,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",manual_rework_rate,Needs research
REQ-BA003-1,BA003,Client expectation,Client advocate lead,Legal ops policy review,Critical,31,0.76,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",time_to_first_contact_hours,Needs legal review
REQ-BA003-2,BA003,Match rationale,Client advocate lead,Legal ops policy review,High,17,0.87,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",manual_rework_rate,Needs legal review
REQ-BA003-3,BA003,Capacity freshness,Client advocate lead,Legal ops policy review,High,41,0.67,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",match_acceptance_rate,Needs research
REQ-BA004-1,BA004,Capacity freshness,Marketplace operator,Support transcript review,Critical,10,0.93,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",case_readiness_score,Needs research
REQ-BA004-2,BA004,Outcome tracking,Marketplace operator,Legal ops policy review,High,27,0.66,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",client_trust_score,Ready for sizing
REQ-BA004-3,BA004,Match rationale,Marketplace operator,Client advocate interview,Medium,12,0.77,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",case_readiness_score,Needs research
REQ-BA005-1,BA005,Capacity freshness,Partner law firm,Support transcript review,High,32,0.85,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",match_acceptance_rate,Ready for sizing
REQ-BA005-2,BA005,Client expectation,Partner law firm,Intake funnel telemetry,Medium,38,0.69,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",case_readiness_score,Needs research
REQ-BA005-3,BA005,Match rationale,Partner law firm,Client advocate interview,Critical,41,0.89,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",case_readiness_score,Drafted
REQ-BA006-1,BA006,Client expectation,Benefits applicant,Partner firm interview,High,10,0.72,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",case_readiness_score,Needs legal review
REQ-BA006-2,BA006,Exception path,Benefits applicant,Legal ops policy review,High,10,0.66,Route low-confidence cases to review instead of presenting a brittle answer.,"Exception path is visible, auditable, and measured before launch review.",client_trust_score,Ready for sizing
REQ-BA006-3,BA006,Outcome tracking,Benefits applicant,Support transcript review,High,38,0.69,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",manual_rework_rate,Needs legal review
REQ-BA007-1,BA007,Capacity freshness,Newly matched client,Client advocate interview,High,23,0.9,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",match_acceptance_rate,Needs legal review
REQ-BA007-2,BA007,Exception path,Newly matched client,Intake funnel telemetry,High,33,0.74,Route low-confidence cases to review instead of presenting a brittle answer.,"Exception path is visible, auditable, and measured before launch review.",time_to_first_contact_hours,Needs research
REQ-BA007-3,BA007,Match rationale,Newly matched client,Partner firm interview,High,38,0.85,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",case_readiness_score,Drafted
REQ-BA008-1,BA008,Client expectation,Matched client,Client advocate interview,Medium,18,0.77,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",match_acceptance_rate,Drafted
REQ-BA008-2,BA008,Match rationale,Matched client,Partner firm interview,Critical,23,0.7,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",client_trust_score,Ready for sizing
REQ-BA008-3,BA008,Capacity freshness,Matched client,Legal ops policy review,Medium,17,0.72,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",case_readiness_score,Needs research
REQ-BA009-1,BA009,Client expectation,Veteran applicant,Intake funnel telemetry,Medium,32,0.67,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",time_to_first_contact_hours,Needs legal review
REQ-BA009-2,BA009,Match rationale,Veteran applicant,Intake funnel telemetry,Medium,29,0.74,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",manual_rework_rate,Needs legal review
REQ-BA009-3,BA009,Capacity freshness,Veteran applicant,Partner firm interview,Medium,20,0.81,Flag stale firm availability signals before a match is presented.,"Capacity freshness is visible, auditable, and measured before launch review.",match_acceptance_rate,Ready for sizing
REQ-BA010-1,BA010,Match rationale,Injured worker,Client advocate interview,High,38,0.74,Show why the recommended firm is a fit before the advocate confirms the referral.,"Match rationale is visible, auditable, and measured before launch review.",manual_rework_rate,Ready for sizing
REQ-BA010-2,BA010,Client expectation,Injured worker,Client advocate interview,High,13,0.7,Explain the next step in plain language at the moment of handoff.,"Client expectation is visible, auditable, and measured before launch review.",match_acceptance_rate,Needs research
REQ-BA010-3,BA010,Outcome tracking,Injured worker,Support transcript review,High,10,0.65,"Instrument whether the decision improved speed, trust, or acceptance.","Outcome tracking is visible, auditable, and measured before launch review.",case_readiness_score,Ready for sizing
